Date,Custom Multi-Asset Index,SPY
2024-07-16,293.63201086568597,557.0499157321696
2024-07-17,292.4750714966172,549.2394483441519
2024-07-18,290.2455092769956,545.018616559567
2024-07-19,287.69354760976967,541.3993435719939
2024-07-22,289.706172897558,546.9810919958904
2024-07-23,289.8189400115063,546.1231482604001
2024-07-24,285.8684770586398,533.7466136130811
2024-07-25,283.5683136618578,530.9655671823602
2024-07-26,287.2763054850583,536.9123298757946
2024-07-29,287.68981720332397,537.2278663501876
2024-07-30,288.90713960522635,534.5060330715643
2024-07-31,291.87694042201576,543.1941613737104
2024-08-01,291.1434812490515,535.5019970575213
2024-08-02,289.09865409752825,525.5319440629825
2024-08-05,282.31330225491996,510.22639172088196
2024-08-06,284.28546173438366,514.9305100387417
2024-08-07,282.9378210936083,511.4886916589114
2024-08-08,287.521971651878,523.3129604558138
2024-08-09,288.6238708881656,525.6205481344874
2024-08-12,289.6162274804298,525.8967734839706
2024-08-13,291.89939040812675,534.5454058126571
2024-08-14,291.6688534080146,536.2319023642303
2024-08-15,293.56598389009866,545.4228803378312
2024-08-16,295.92260178800245,546.6457767266761
2024-08-19,297.5250021944563,551.8724310865372
2024-08-20,297.6092737009619,550.9751762261371
2024-08-21,298.34632563559484,552.8684566886775
2024-08-22,296.6652776241056,548.5293218322639
2024-08-23,301.0337739320644,554.3575966053199
2024-08-26,301.0722597505332,553.0361759394677
2024-08-27,301.629986917148,553.7955953979509
2024-08-28,299.947725701373,550.5807094210086
2024-08-29,300.1675769538817,550.6298791352374
2024-08-30,301.37606715984913,555.8861708792389
2024-09-03,298.82161341154347,544.4466951466956
2024-09-04,298.9611396057882,543.3322432403602
2024-09-05,299.22512276497423,542.010822574508
2024-09-06,296.713649439383,532.888731493774
2024-09-09,299.34112088181246,538.8549649011135
2024-09-10,301.65977106092816,541.2021101694297
2024-09-11,302.3352559607083,546.754282825369
2024-09-12,305.37959654337,551.3597228257635
2024-09-13,307.98704277452106,554.2393551496749
2024-09-16,308.4735071107069,555.057864527889
2024-09-17,307.22993933804344,555.2846736984105
2024-09-18,306.0115501747846,553.6377963526631
2024-09-19,309.3581695177628,563.085282497109
2024-09-20,310.0810200610893,562.1119932665857
2024-09-23,311.5651263455073,563.5165957798175
2024-09-24,313.46025615457427,565.1289680629482
2024-09-25,312.3881453204883,563.8825959082873
2024-09-26,312.38733376102806,566.1182158849316
2024-09-27,311.54263872481914,565.2971186270212
2024-09-30,311.94457423099027,567.5624376039891
2024-10-01,311.43152886428896,562.4779317788723
2024-10-02,311.13182257080047,562.7153389329117
2024-10-03,309.9241941255393,561.6865951374688
2024-10-04,310.15954259151374,566.7908181412238
2024-10-07,307.96153566494536,561.6667547264641
2024-10-08,308.38253041088416,566.9788091163015
2024-10-09,308.64352672559266,570.9059781715451
2024-10-10,308.3050017047291,569.9068717602427
2024-10-11,311.20429695639314,573.3196073015816
2024-10-14,312.5074826068404,578.008352381722
2024-10-15,313.3157909041954,573.5173952497951
2024-10-16,315.4392711210709,576.010139559117
2024-10-17,315.24808699064783,576.0596173542621
2024-10-18,317.5497572634563,578.2754585360851
2024-10-21,315.2815099580553,577.3258299199276
2024-10-22,316.51328872400677,577.0192277921051
2024-10-23,315.0492287028385,571.7466693757273
2024-10-24,316.3129580915847,572.9832445572524
2024-10-25,315.5006873767846,572.7853333766725
2024-10-28,316.1594963630414,574.5560592507404
2024-10-29,316.72105368117184,575.4858474558933
2024-10-30,317.4479847517598,573.7448821983323
2024-10-31,311.9440915431609,562.4977105736938
2024-11-01,310.80779958165766,564.8717821140875
2024-11-04,311.86729891248575,563.6551089597502
2024-11-05,314.7391451990417,570.470659836926
2024-11-06,311.9270233342937,584.6557526948247
2024-11-07,315.6500328045732,589.1764088270753
2024-11-08,316.9639308210119,591.7285511370443
2024-11-11,314.0558013183341,592.2924008299108
2024-11-12,311.37855311305793,590.4524799820598
2024-11-13,310.956321291879,590.7394265474273
2024-11-14,309.0880405137175,586.9407888504309
2024-11-15,307.6407477017327,579.422875100456
2024-11-18,310.7547925198756,581.797008257033
2024-11-19,312.56582755224423,583.9237524378851
2024-11-20,313.0562275229352,584.1216020022817
2024-11-21,315.2570388358003,587.2573727999387
2024-11-22,317.7296179779028,589.0774532367851
2024-11-25,316.44353980233234,591.0757276755734
2024-11-26,317.6203453665566,594.1620206780854
2024-11-27,318.21567817593484,592.3615958036938
2024-11-29,319.31608725362486,596.0413758832126
2024-12-02,317.02448242690014,597.1098005006646
2024-12-03,316.75085688292427,597.3867036281634
2024-12-04,317.4415566047388,601.0961827080058
2024-12-05,316.23108349141893,600.1069965022057
2024-12-06,316.3158304267202,601.2446160934408
2024-12-09,317.11652184736323,598.1483412692432
